name,rating,total_reviews,category,review,address,lat,lon,geocode_confidence,found_address
Nhà hàng chay Diệu Cát Tường | Nhà hàng chay quận Tân Bình,4.8,50,Đồ chay,"Hương vị đồ ăn vừa thanh đạm, ngon miệng, lại vừa trang trí đẹp mắt.",46 Huỳnh Lan Khanh,10.8044606,106.6680753,1.0,"Ẩm Thực Chay Diệu Cát Tường, 46, Huynh Lan Khanh, Ho Chi Minh City, HC 72215, Vietnam"
Chillthai - thaifood,4.9,2623,Món ăn Thái Lan,"Quán Thái ngon, các món.",41 Hồng Hà,10.812961,106.672035,0.5,"41, Hồng Hà, Ho Chi Minh City, HC, Vietnam"
D'Maris Cộng Hòa,4.4,2829,Món ăn tự chọn,"Các món phở, bún, đồ chiên, nước súp, salad ko ăn nên ko đánh giá.","Tòa nhà PICO PLAZA, 20 Cộng Hòa",10.8008163,106.6591228,0.9,"20, Cộng Hòa, Ho Chi Minh City, HC, Vietnam"
Lẩu Băng Chuyền Kichi Kichi,4.3,695,Món lẩu,". . . Tuấn Sang chăm sóc nhiệt tình chu đáo, gia đình đã ăn rất ngon.",263 Đ. Nguyễn Hồng Đào,10.7901265,106.6406975,1.0,"Cà Phê Royaltea, 263, Nguyen Hong Dao, Ho Chi Minh City, 72012, Vietnam"
CHU DIMSUM HOUSE,4.6,207,Món ăn Trung Quốc,"Thức ăn ngon, nhân viên thân thiện nhiệt tình, bà chủ chịu chơi.",708 Đ. Âu Cơ,10.801827,106.636742,0.5,"708, Đường Âu Cơ, Ho Chi Minh City, HC, Vietnam"
Cá viên chiên 112 Đồng Đen,4.3,93,Quán ăn nhỏ,Có đọc được cmt thì cho quan xl nha.,112 Đồng Đen,10.789336,106.642924,1.0,"112, Đồng Đen, Ho Chi Minh City, HC, Vietnam"
Hải Sản Hoàng Gia CN Tân Sơn Nhì Quận Tân Phú,4.9,336,Nhà hàng,"Đồ tươi, ngon, bao đổi nên ăn luôn luôn hấp dẫn Cả.",367 P,10.8094435,106.6194316,0.5,"367, P, Ho Chi Minh City, HC 71006, Vietnam"
Chay tabaha,4.3,68,Món chay,"Quán ăn chay nhỏ trong hẻm yên tĩnh, lúc mình ăn cũng ít khách.",23 Tân Canh,10.7966415,106.6675088,1.0,"Quán Mì Nấm, 23, Tân Canh, Ho Chi Minh City, HC 72215, Vietnam"
AL Fresco's,4.5,1159,Pizza,"Mình thích đế bánh ở đây vì dày vừa đủ, không quá ngán.",111 Cộng Hòa,10.8011392,106.657243,1.0,"111, Cộng Hòa, Ho Chi Minh City, HC, Vietnam"
Kichi Kichi Vincom Cộng Hòa,4.4,799,Nhà hàng,Quán sạch sẽ đồ ăn tươi.,15-17 Cộng Hòa,10.8004946,106.6588006,1.0,"An Phuoc, 15-17, Cong Hoa St, Ho Chi Minh City, HC 72106, Vietnam"
NHÀ HÀNG CHAY PHÁT HOA,3.8,120,Đồ chay,Mình cũng hay đến đây vào những ngày chay để ăn.,201 Đ. Nguyễn Hồng Đào,10.81444,106.70613,0.25,"Ho Chi Minh City, HC, Vietnam"
Bánh Tráng Nướng Phan Rang chị Hằng,4.4,74,Món ăn nhanh,"Bánh tráng thì sẽ có thêm dĩa mắm ruốc, kèm bánh mì giòn, tốp mỡ để chấm.",42 Đường số 1,10.7485689,106.7082551,1.0,"42, Road No. 1, Ho Chi Minh City, HC 72911, Vietnam"
BÒ TƠ QUÁN MỘC 111A Gò Dầu,4.9,1982,Nhà hàng,"Quán ngon, dịch vụ tốt, nv ân cần, sạch sẽ tặng kèm tráng miệng.",111A Đ. Gò Dầu,10.795811,106.621894,0.5,"111a, Đường Gò Dầu, Ho Chi Minh City, HC, Vietnam"
Tanchou Bình Tân - Quán ăn Nhật Bản,4.4,301,Món ăn Nhật Bản,Quán đồ Nhật nhưng mở nguyên list nhạc kiểu Hoa thập niên 90 khá hay.,136 Đường số 7,10.7515559,106.6172898,1.0,"136, Đường số 7, Ho Chi Minh City, HC, Vietnam"
Lẩu Dê Lâm Ký,3.9,1308,Món lẩu,"Quán ngon nhất món lẩu, ai thích ăn lẩu ghé Lâm Ký là tuyệt vời.",47 Nguyễn Thị Nhỏ,10.772416,106.652868,0.5,"47, Nguyễn Thị Nhỏ, Ho Chi Minh City, HC, Vietnam"
Bánh Tráng Nướng Bình Thuận BiiBo | Ăn Vặt Ngon Tân Bình,4.2,23,Món ăn nhanh,Nên chỉ cần mang ra tầm 2p là bánh tráng dính cục lại.,95 Trương Công Định,10.795662,106.640851,0.5,"95, Trương Công Định, Ho Chi Minh City, HC, Vietnam"
Mực trứng quận tân bình- hải sản ngọc trinh,4.0,2,Đồ hải sản,,420 Cộng Hòa,10.802429,106.6403405,1.0,"420, Đường Cộng Hòa, Ho Chi Minh City, HC, Vietnam"
Quán Ăn Hương Vị Bắc,4.5,2,Nhà hàng,,37 Nhất Chi Mai,10.805034,106.639579,0.5,"37, Nhất Chi Mai, Ho Chi Minh City, HC, Vietnam"
Phở Đại Lợi,4.3,41,Phở,Chủ quán vui vẻ phở ăn ngon chỗ để xe rộng để được cả oto.,93 Phạm Văn Hai,10.7941707,106.6630488,1.0,"93, Phạm Văn Hai, Ho Chi Minh City, HC, Vietnam"
